player_name,total_points,Opp_GC_90,was_home,form,prev_tp_avg,xGipg_last7,comp_form
Aaron Cresswell,1,5.0,1,3.0,3.0,3.0,3.0
Aaron Cresswell,2,2.0,0,2.0,2.0,2.0,2.0
Aaron Cresswell,1,2.0,0,1.0,1.0,1.0,2.0
Aaron Cresswell,1,3.0,1,1.0,1.0,1.0,1.0
Aaron Cresswell,6,6.0,1,1.0,1.0,1.0,1.0
Aaron Cresswell,7,5.0,0,1.0,1.0,1.0,1.0
Aaron Cresswell,2,4.0,0,1.0,1.0,1.0,1.0
Aaron Cresswell,2,2.0,1,2.0,1.0,1.0,2.0
Aaron Cresswell,1,4.0,1,2.0,1.0,1.0,2.0
Aaron Cresswell,6,4.0,0,2.0,1.0,1.0,2.0
Aaron Cresswell,2,1.0,1,2.0,1.0,1.0,2.0
Aaron Cresswell,2,2.0,1,1.0,1.0,1.0,1.0
Aaron Cresswell,1,5.0,0,1.0,1.0,2.0,1.0
Aaron Cresswell,1,4.0,1,1.0,1.0,2.0,1.0
Aaron Cresswell,1,6.0,0,1.0,1.0,1.0,1.0
Aaron Cresswell,5,3.0,0,1.0,1.0,1.0,1.0
Aaron Cresswell,6,2.0,1,1.0,1.0,2.0,1.0
Aaron Lennon,2,2.0,1,1.0,1.0,1.0,2.0
Aaron Lennon,2,2.0,1,1.0,1.0,1.0,2.0
Aaron Lennon,2,4.0,0,2.0,1.0,1.0,2.0
Aaron Lennon,3,6.0,0,1.0,1.0,1.0,2.0
Aaron Lennon,3,1.0,1,1.0,1.0,1.0,1.0
Aaron Ramsey,2,4.0,0,1.0,1.0,1.0,2.0
Aaron Ramsey,1,5.0,1,1.0,1.0,1.0,1.0
Aaron Ramsey,1,5.0,0,1.0,1.0,1.0,1.0
Aaron Ramsey,3,4.0,1,1.0,1.0,1.0,1.0
Aaron Ramsey,2,2.0,1,1.0,1.0,2.0,1.0
Aaron Ramsey,3,4.0,0,1.0,1.0,2.0,2.0
Aaron Ramsey,6,5.0,0,1.0,1.0,2.0,2.0
Aaron Ramsey,3,3.0,1,2.0,1.0,3.0,2.0
Abdoulaye Doucouré,2,5.0,0,2.0,1.0,3.0,2.0
Abdoulaye Doucouré,1,4.0,1,1.0,1.0,2.0,2.0
Abdoulaye Doucouré,3,5.0,0,1.0,1.0,2.0,2.0
Abdoulaye Doucouré,2,3.0,0,1.0,1.0,2.0,2.0
Abdoulaye Doucouré,3,2.0,0,1.0,1.0,2.0,1.0
Abdoulaye Doucouré,3,6.0,0,1.0,1.0,1.0,1.0
Abdoulaye Doucouré,2,2.0,1,1.0,1.0,1.0,2.0
Abdoulaye Doucouré,2,2.0,0,1.0,1.0,1.0,1.0
Abdoulaye Doucouré,2,3.0,0,1.0,1.0,1.0,1.0
Abdoulaye Doucouré,2,1.0,1,1.0,1.0,1.0,1.0
Abel Hernández,6,2.0,1,2.0,2.0,2.0,2.0
Abel Hernández,2,4.0,0,3.0,3.0,3.0,2.0
Abel Hernández,2,3.0,1,2.0,2.0,2.0,2.0
Abel Hernández,2,2.0,0,2.0,2.0,2.0,2.0
Abel Hernández,2,2.0,1,2.0,1.0,2.0,2.0
Abel Hernández,13,2.0,0,1.0,1.0,2.0,1.0
Abel Hernández,5,3.0,0,2.0,1.0,2.0,2.0
Abel Hernández,2,5.0,1,3.0,1.0,2.0,3.0
Abel Hernández,2,4.0,1,3.0,1.0,2.0,3.0
Abel Hernández,14,1.0,0,1.0,1.0,2.0,1.0
Abel Hernández,2,4.0,0,3.0,1.0,3.0,3.0
Adam Clayton,2,6.0,0,1.0,1.0,2.0,1.0
Adam Clayton,1,4.0,0,1.0,1.0,2.0,1.0
Adam Clayton,1,3.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,5.0,0,1.0,2.0,2.0,1.0
Adam Clayton,3,5.0,1,1.0,1.0,2.0,1.0
Adam Clayton,3,1.0,0,1.0,1.0,1.0,1.0
Adam Clayton,1,4.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,6.0,1,1.0,1.0,1.0,1.0
Adam Clayton,3,4.0,0,1.0,1.0,1.0,1.0
Adam Clayton,6,4.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,2.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,4.0,1,1.0,1.0,1.0,1.0
Adam Clayton,2,2.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,3.0,1,1.0,1.0,1.0,2.0
Adam Clayton,2,4.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,2.0,1,1.0,1.0,1.0,1.0
Adam Clayton,1,5.0,0,1.0,1.0,1.0,1.0
Adam Clayton,3,6.0,0,1.0,1.0,1.0,1.0
Adam Clayton,1,4.0,1,1.0,1.0,1.0,1.0
Adam Clayton,3,3.0,1,1.0,1.0,1.0,1.0
Adam Clayton,2,5.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,6.0,1,1.0,1.0,1.0,1.0
Adam Clayton,5,1.0,1,1.0,1.0,1.0,1.0
Adam Clayton,2,2.0,0,1.0,1.0,1.0,1.0
Adam Clayton,2,4.0,1,1.0,1.0,1.0,2.0
Adam Federici,7,3.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,1,6.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,2,4.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,3,4.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,2,3.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,2,2.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,2,5.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,2,3.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,3,5.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,1,2.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,2,4.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,1,2.0,1,1.0,1.0,1.0,2.0
Adam Forshaw,2,5.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,8,4.0,0,1.0,1.0,1.0,2.0
Adam Forshaw,3,5.0,0,1.0,1.0,1.0,2.0
Adam Forshaw,2,4.0,1,2.0,1.0,1.0,2.0
Adam Forshaw,2,2.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,2,3.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,1,4.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,2,5.0,0,1.0,1.0,1.0,1.0
Adam Forshaw,3,3.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,2,6.0,1,1.0,1.0,1.0,1.0
Adam Forshaw,3,1.0,1,1.0,1.0,1.0,1.0
Adam Lallana,11,4.0,0,1.0,1.0,1.0,1.0
Adam Lallana,2,2.0,0,3.0,3.0,2.0,3.0
Adam Lallana,2,4.0,1,3.0,3.0,3.0,2.0
Adam Lallana,8,2.0,0,2.0,2.0,2.0,2.0
Adam Lallana,15,5.0,0,3.0,3.0,2.0,3.0
Adam Lallana,3,4.0,0,3.0,3.0,2.0,3.0
Adam Lallana,2,5.0,1,3.0,3.0,2.0,3.0
Adam Lallana,12,4.0,0,3.0,3.0,1.0,3.0
Adam Lallana,7,4.0,0,4.0,3.0,2.0,4.0
Adam Lallana,19,3.0,0,4.0,3.0,2.0,4.0
Adam Lallana,3,5.0,1,5.0,3.0,3.0,4.0
Adam Lallana,9,1.0,1,5.0,3.0,3.0,4.0
Adam Lallana,6,6.0,0,5.0,3.0,3.0,5.0
Adam Lallana,1,2.0,0,5.0,3.0,3.0,4.0
Adam Lallana,2,6.0,0,2.0,3.0,3.0,2.0
Adam Lallana,2,2.0,1,1.0,3.0,2.0,1.0
Adam Lallana,3,4.0,0,1.0,3.0,2.0,1.0
Adam Lallana,2,3.0,1,1.0,3.0,2.0,1.0
Adam Lallana,1,1.0,0,1.0,3.0,1.0,1.0
Adam Lallana,3,4.0,1,1.0,2.0,1.0,1.0
Adam Lallana,3,4.0,1,1.0,2.0,1.0,1.0
Adam Smith,7,5.0,0,1.0,1.0,3.0,2.0
Adam Smith,2,4.0,0,3.0,3.0,2.0,3.0
Adam Smith,2,4.0,1,2.0,2.0,2.0,2.0
Adam Smith,11,1.0,0,2.0,2.0,1.0,2.0
Adam Smith,6,5.0,0,3.0,3.0,1.0,3.0
Adam Smith,5,2.0,1,3.0,3.0,1.0,3.0
Adam Smith,6,4.0,0,3.0,3.0,1.0,3.0
Adam Smith,1,2.0,1,3.0,2.0,2.0,3.0
Adam Smith,1,4.0,1,1.0,2.0,2.0,2.0
Adam Smith,6,4.0,1,1.0,2.0,2.0,1.0
Adam Smith,1,2.0,0,1.0,2.0,2.0,1.0
Adam Smith,1,5.0,0,1.0,2.0,2.0,1.0
Adam Smith,6,4.0,1,1.0,1.0,2.0,1.0
Adam Smith,1,3.0,0,1.0,2.0,2.0,2.0
Adam Smith,1,4.0,0,1.0,1.0,2.0,2.0
Adam Smith,1,2.0,0,1.0,1.0,2.0,1.0
Adam Smith,7,4.0,0,1.0,1.0,2.0,1.0
Adam Smith,7,2.0,0,1.0,1.0,2.0,1.0
Adam Smith,1,2.0,1,2.0,1.0,1.0,2.0
Adam Smith,6,6.0,0,2.0,1.0,1.0,2.0
Adam Smith,7,4.0,1,3.0,2.0,1.0,3.0
Adam Smith,2,4.0,0,3.0,2.0,2.0,3.0
Adama Diomande,8,5.0,0,1.0,1.0,1.0,1.0
Adama Diomande,2,2.0,1,3.0,3.0,1.0,3.0
Adama Diomande,2,4.0,0,2.0,2.0,1.0,2.0
Adama Diomande,2,3.0,1,2.0,2.0,1.0,2.0
Adama Diomande,2,4.0,1,1.0,2.0,2.0,2.0
Adama Diomande,6,2.0,0,1.0,2.0,1.0,1.0
Adama Diomande,2,5.0,0,1.0,2.0,2.0,2.0
Adama Diomande,2,4.0,0,1.0,2.0,2.0,2.0
Adama Diomande,2,5.0,1,1.0,2.0,2.0,2.0
Adama Traoré,3,5.0,1,1.0,1.0,2.0,2.0
Adama Traoré,3,1.0,0,1.0,1.0,2.0,1.0
Adama Traoré,2,2.0,1,1.0,1.0,2.0,1.0
Adama Traoré,2,4.0,0,1.0,1.0,2.0,1.0
Adama Traoré,2,6.0,1,1.0,1.0,2.0,1.0
Adama Traoré,2,5.0,1,1.0,1.0,1.0,1.0
Adama Traoré,3,4.0,1,1.0,1.0,1.0,1.0
Adama Traoré,3,5.0,0,1.0,1.0,1.0,1.0
Adama Traoré,2,4.0,1,1.0,1.0,1.0,1.0
Adama Traoré,2,2.0,0,1.0,1.0,1.0,1.0
Adama Traoré,2,3.0,1,1.0,1.0,1.0,1.0
Adama Traoré,3,4.0,0,1.0,1.0,1.0,1.0
Adama Traoré,2,2.0,1,1.0,1.0,1.0,1.0
Adama Traoré,3,6.0,0,1.0,1.0,1.0,1.0
Adama Traoré,1,4.0,1,2.0,1.0,1.0,2.0
Ademola Lookman,2,4.0,0,1.0,1.0,1.0,2.0
Ademola Lookman,3,6.0,1,1.0,1.0,1.0,2.0
Ademola Lookman,1,2.0,0,1.0,1.0,2.0,2.0
Adnan Januzaj,2,4.0,0,1.0,1.0,2.0,1.0
Adnan Januzaj,2,3.0,1,1.0,1.0,2.0,1.0
Adnan Januzaj,2,2.0,0,1.0,1.0,2.0,1.0
Adnan Januzaj,2,4.0,1,1.0,1.0,2.0,1.0
Adnan Januzaj,2,5.0,1,1.0,1.0,2.0,1.0
Adnan Januzaj,5,2.0,1,1.0,1.0,2.0,1.0
Adnan Januzaj,2,5.0,1,1.0,1.0,2.0,1.0
Adnan Januzaj,1,4.0,0,1.0,1.0,1.0,1.0
Adnan Januzaj,2,2.0,1,1.0,1.0,1.0,1.0
Adnan Januzaj,8,4.0,1,1.0,1.0,1.0,1.0
Adnan Januzaj,2,3.0,0,2.0,1.0,1.0,2.0
Adnan Januzaj,2,1.0,1,1.0,1.0,1.0,2.0
Adnan Januzaj,2,4.0,1,1.0,1.0,1.0,2.0
Adnan Januzaj,3,5.0,0,1.0,1.0,1.0,2.0
Adnan Januzaj,2,4.0,0,2.0,1.0,1.0,2.0
Adrian Mariappa,9,6.0,0,1.0,1.0,1.0,1.0
Adrian Mariappa,2,4.0,0,2.0,1.0,1.0,2.0
Adrian Mariappa,2,2.0,0,2.0,1.0,1.0,2.0
Adrian Mariappa,1,3.0,0,2.0,1.0,1.0,2.0
Adrián San Miguel del Castillo,2,5.0,1,2.0,2.0,1.0,2.0
Adrián San Miguel del Castillo,3,4.0,1,1.0,1.0,1.0,1.0
Adrián San Miguel del Castillo,8,6.0,1,2.0,1.0,1.0,2.0
Adrián San Miguel del Castillo,6,3.0,0,1.0,2.0,1.0,1.0
Adrián San Miguel del Castillo,2,5.0,1,2.0,2.0,1.0,2.0
Adrián San Miguel del Castillo,2,2.0,0,2.0,2.0,1.0,2.0
Adrián San Miguel del Castillo,6,5.0,0,2.0,1.0,1.0,2.0
Ahmed Elmohamady,2,5.0,0,1.0,1.0,1.0,1.0
Ahmed Elmohamady,3,2.0,1,1.0,1.0,1.0,1.0
Ahmed Elmohamady,2,4.0,0,1.0,1.0,1.0,1.0
Ahmed Elmohamady,2,3.0,1,1.0,1.0,1.0,1.0
Ahmed Elmohamady,2,5.0,1,1.0,2.0,1.0,1.0
Ahmed Elmohamady,2,5.0,0,1.0,2.0,1.0,1.0
Ahmed Elmohamady,2,6.0,0,1.0,2.0,1.0,1.0
Ahmed Elmohamady,2,4.0,1,1.0,1.0,1.0,1.0
Ahmed Elmohamady,2,4.0,0,1.0,1.0,1.0,1.0
