"player_name","total_points","Opp_GC_90","was_home","form","prev_tp_avg","xGipg_last7"
"Aaron Cresswell",1,1.6,1,6,6,0.5
"Aaron Cresswell",2,1,0,3.5,3.5,0.25
"Aaron Cresswell",1,1,0,3,3,0.15
"Aaron Cresswell",1,1.3,1,2.5,2.5,0.1
"Aaron Cresswell",6,2.1,1,1,2,0.1
"Aaron Cresswell",7,1.7,0,2,2.5,0.1
"Aaron Cresswell",2,1.4,0,3,3,0
"Aaron Cresswell",2,1,1,3.5,3,0
"Aaron Cresswell",1,1.5,1,3.5,3,0.05
"Aaron Cresswell",6,1.4,0,3.5,2.5,0.05
"Aaron Cresswell",2,0.8,1,3.5,3,0.05
"Aaron Cresswell",2,1.1,1,2.5,3,0.15
"Aaron Cresswell",1,1.7,0,2.5,2.5,0.2
"Aaron Cresswell",1,1.4,1,2.5,2.5,0.2
"Aaron Cresswell",1,2.1,0,1.5,2.5,0.15
"Aaron Cresswell",5,1.3,0,1,2.5,0.15
"Aaron Cresswell",6,0.9,1,2,2.5,0.25
"Aaron Lennon",2,1,1,3,2.5,0.15
"Aaron Lennon",2,0.9,1,3,3,0.1
"Aaron Lennon",2,1.4,0,3.5,3,0.15
"Aaron Lennon",3,2.1,0,3,3,0.1
"Aaron Lennon",3,0.8,1,2,3,0.1
"Aaron Ramsey",2,1.4,0,3,3,0.05
"Aaron Ramsey",1,1.7,1,2.5,2.5,0.05
"Aaron Ramsey",1,1.7,0,2,2.5,0.05
"Aaron Ramsey",3,1.4,1,2,2.5,0.1
"Aaron Ramsey",2,1,1,2.5,2.5,0.2
"Aaron Ramsey",3,1.5,0,3,2.5,0.25
"Aaron Ramsey",6,1.6,0,3,2.5,0.3
"Aaron Ramsey",3,1.3,1,3.5,2.5,0.4
"Abdoulaye Doucouré",2,1.6,0,4,3,0.4
"Abdoulaye Doucouré",1,1.4,1,3,3,0.35
"Abdoulaye Doucouré",3,1.7,0,3,3,0.35
"Abdoulaye Doucouré",2,1.3,0,3,3,0.35
"Abdoulaye Doucouré",3,1,0,2,2.5,0.25
"Abdoulaye Doucouré",3,2.1,0,2.5,2.5,0.15
"Abdoulaye Doucouré",2,0.9,1,3,2.5,0.1
"Abdoulaye Doucouré",2,1.1,0,2.5,2.5,0.05
"Abdoulaye Doucouré",2,1.3,0,2.5,2.5,0.05
"Abdoulaye Doucouré",2,0.8,1,2,2.5,0.05
"Abel Hernández",6,1,1,3.5,3.5,0.25
"Abel Hernández",2,1.4,0,4.5,4.5,0.4
"Abel Hernández",2,1.3,1,4,4,0.3
"Abel Hernández",2,0.9,0,3.5,3.5,0.3
"Abel Hernández",2,1.1,1,3.5,3,0.25
"Abel Hernández",13,1.1,0,2,2.5,0.2
"Abel Hernández",5,1.3,0,4,3,0.25
"Abel Hernández",2,1.6,1,5,3,0.35
"Abel Hernández",2,1.4,1,5,3,0.35
"Abel Hernández",14,0.8,0,2.5,3,0.35
"Abel Hernández",2,1.5,0,5,3,0.45
"Adam Clayton",2,1.8,0,2,2,0.35
"Adam Clayton",1,1.4,0,2,2,0.2
"Adam Clayton",1,1.3,0,2,2,0.1
"Adam Clayton",2,1.6,0,2,4,0.25
"Adam Clayton",3,1.7,1,2,3,0.2
"Adam Clayton",3,0.8,0,2,3,0.05
"Adam Clayton",1,1.4,0,2,3,0.05
"Adam Clayton",2,2.1,1,2,3,0.05
"Adam Clayton",3,1.5,0,2,3,0.05
"Adam Clayton",6,1.4,0,1.5,2.5,0.05
"Adam Clayton",2,1,0,2.5,3,0.05
"Adam Clayton",2,1.4,1,2.5,3,0
"Adam Clayton",2,1,0,2.5,2.5,0
"Adam Clayton",2,1.3,1,3,2.5,0.05
"Adam Clayton",2,1.5,0,2,2.5,0.05
"Adam Clayton",2,1,1,2,3,0.05
"Adam Clayton",1,1.7,0,2,3,0.05
"Adam Clayton",3,2.1,0,2,3,0.05
"Adam Clayton",1,1.4,1,2,3,0.05
"Adam Clayton",3,1.3,1,2,3,0.05
"Adam Clayton",2,1.7,0,2,3,0.05
"Adam Clayton",2,1.8,1,2,2.5,0.05
"Adam Clayton",5,0.8,1,2,2.5,0.05
"Adam Clayton",2,1.1,0,2.5,2.5,0.1
"Adam Clayton",2,1.5,1,3,2.5,0.1
"Adam Federici",7,1.3,0,2.5,2,0.1
"Adam Forshaw",1,1.8,0,1,1,0
"Adam Forshaw",2,1.4,0,1,1,0
"Adam Forshaw",3,1.5,1,1.5,1.5,0
"Adam Forshaw",2,1.3,0,2,2,0
"Adam Forshaw",2,1,1,2,2,0
"Adam Forshaw",2,1.7,1,2,2.5,0
"Adam Forshaw",2,1.3,0,2,2.5,0.05
"Adam Forshaw",3,1.7,1,2,2.5,0.05
"Adam Forshaw",1,1.1,1,2.5,2.5,0.1
"Adam Forshaw",2,1.4,0,2,2.5,0.1
"Adam Forshaw",1,0.9,1,3,2.5,0.15
"Adam Forshaw",2,1.7,1,2.5,2.5,0.15
"Adam Forshaw",8,1.4,0,3,2.5,0.15
"Adam Forshaw",3,1.7,0,3,3,0.15
"Adam Forshaw",2,1.4,1,3.5,3,0.05
"Adam Forshaw",2,1,0,2.5,2.5,0.1
"Adam Forshaw",2,1.3,1,2.5,2.5,0.1
"Adam Forshaw",1,1.5,0,2.5,2.5,0.05
"Adam Forshaw",2,1.6,0,2,2.5,0.1
"Adam Forshaw",3,1.3,1,2,2.5,0.15
"Adam Forshaw",2,1.8,1,2,2.5,0.15
"Adam Forshaw",3,0.8,1,2,2.5,0.15
"Adam Lallana",11,1.4,0,1,1,0.1
"Adam Lallana",2,1,0,6,6,0.35
"Adam Lallana",2,1.4,1,4.5,4.5,0.4
"Adam Lallana",8,1.1,0,4,4,0.35
"Adam Lallana",15,1.7,0,5,4.5,0.25
"Adam Lallana",3,1.5,0,6,5,0.25
"Adam Lallana",2,1.7,1,6,4.5,0.25
"Adam Lallana",12,1.5,0,6,4.5,0.15
"Adam Lallana",7,1.4,0,7,4.5,0.3
"Adam Lallana",19,1.3,0,8,4.5,0.3
"Adam Lallana",3,1.6,1,8.5,5.5,0.5
"Adam Lallana",9,0.8,1,8.5,5.5,0.5
"Adam Lallana",6,1.8,0,10,5.5,0.5
"Adam Lallana",1,1,0,9,5.5,0.5
"Adam Lallana",2,2.1,0,4,5,0.4
"Adam Lallana",2,1,1,2.5,5,0.2
"Adam Lallana",3,1.4,0,2,5,0.2
"Adam Lallana",2,1.3,1,2,5,0.2
"Adam Lallana",1,0.8,0,2,4.5,0.15
"Adam Lallana",3,1.5,1,2,4,0.15
"Adam Lallana",3,1.4,1,2,4,0.15
"Adam Smith",7,1.6,0,3,3,0.4
"Adam Smith",2,1.5,0,5,5,0.25
"Adam Smith",2,1.4,1,4,4,0.2
"Adam Smith",11,0.8,0,3.5,3.5,0.15
"Adam Smith",6,1.7,0,5,4.5,0.15
"Adam Smith",5,1,1,5.5,4.5,0.1
"Adam Smith",6,1.4,0,5,4.5,0.15
"Adam Smith",1,0.9,1,6,4,0.2
"Adam Smith",1,1.4,1,3,3.5,0.25
"Adam Smith",6,1.5,1,2.5,3.5,0.25
"Adam Smith",1,1.1,0,2.5,3.5,0.3
"Adam Smith",1,1.7,0,2,3.5,0.25
"Adam Smith",6,1.5,1,2,3,0.3
"Adam Smith",1,1.3,0,3,3.5,0.25
"Adam Smith",1,1.4,0,3,3,0.2
"Adam Smith",1,1,0,2,3,0.2
"Adam Smith",7,1.5,0,1,3,0.2
"Adam Smith",7,0.9,0,2.5,3,0.2
"Adam Smith",1,1.1,1,3.5,3,0.1
"Adam Smith",6,1.8,0,3.5,3,0.1
"Adam Smith",7,1.4,1,6,3.5,0.15
"Adam Smith",2,1.4,0,6,3.5,0.25
"Adama Diomande",8,1.7,0,2,2,0
"Adama Diomande",2,1,1,5,5,0.1
"Adama Diomande",2,1.4,0,4,4,0.1
"Adama Diomande",2,1.3,1,3.5,3.5,0.1
"Adama Diomande",2,1.5,1,3,4,0.2
"Adama Diomande",6,1,0,2,4,0.15
"Adama Diomande",2,1.6,0,3,4,0.3
"Adama Diomande",2,1.4,0,3,3.5,0.3
"Adama Diomande",2,1.7,1,3,3.5,0.3
"Adama Traoré",3,1.7,1,3,2.5,0.3
"Adama Traoré",3,0.8,0,2,2.5,0.35
"Adama Traoré",2,1.1,1,2.5,2.5,0.35
"Adama Traoré",2,1.4,0,2.5,2.5,0.2
"Adama Traoré",2,2.1,1,2.5,2.5,0.2
"Adama Traoré",2,1.7,1,2.5,3,0.15
"Adama Traoré",3,1.4,1,2,3,0.15
"Adama Traoré",3,1.7,0,2,3,0.15
"Adama Traoré",2,1.4,1,2.5,3,0.1
"Adama Traoré",2,1,0,2.5,3,0.1
"Adama Traoré",2,1.3,1,2.5,3,0.1
"Adama Traoré",3,1.5,0,2.5,3,0.1
"Adama Traoré",2,1,1,2.5,3,0.1
"Adama Traoré",3,2.1,0,2,3,0.1
"Adama Traoré",1,1.5,1,3.5,3,0.15
"Ademola Lookman",2,1.4,0,3,2.5,0.1
"Ademola Lookman",3,1.8,1,3,2.5,0.15
"Ademola Lookman",1,1,0,3,2.5,0.2
"Adnan Januzaj",2,1.5,0,2,2,0.35
"Adnan Januzaj",2,1.3,1,2,2,0.35
"Adnan Januzaj",2,1,0,2,2,0.3
"Adnan Januzaj",2,1.4,1,2,2,0.25
"Adnan Januzaj",2,1.7,1,2,2.5,0.25
"Adnan Januzaj",5,0.9,1,2,2.5,0.2
"Adnan Januzaj",2,1.6,1,2.5,2.5,0.2
"Adnan Januzaj",1,1.4,0,2.5,2.5,0.15
"Adnan Januzaj",2,1,1,2.5,2.5,0.15
"Adnan Januzaj",8,1.5,1,2.5,2.5,0.15
"Adnan Januzaj",2,1.3,0,3.5,2.5,0.15
"Adnan Januzaj",2,0.8,1,3,2.5,0.1
"Adnan Januzaj",2,1.4,1,3,2.5,0.15
"Adnan Januzaj",3,1.7,0,3,2.5,0.15
"Adnan Januzaj",2,1.4,0,3.5,2.5,0.15
"Adrian Mariappa",9,2.1,0,2,2.5,0.15
"Adrian Mariappa",2,1.4,0,3.5,2.5,0.15
"Adrian Mariappa",2,1.1,0,3.5,2.5,0.15
"Adrian Mariappa",1,1.3,0,3.5,2.5,0.15
"Adrián San Miguel del Castillo",2,1.7,1,4,4,0
"Adrián San Miguel del Castillo",3,1.4,1,3,3,0
"Adrián San Miguel del Castillo",8,1.8,1,3.5,3,0
